,asex_alt,asex_mix,omega1,omega2,rf1,rf2,sex_alt,sex_mix,theta1,theta2
0,7.0,9.0,0.4,1.0,1e-10,1e-05,7.0,9.0,4.0,9.6
1,8.0,13.0,0.4,1.0,1e-10,1e-05,8.0,13.0,8.0,9.6
2,9.0,14.0,0.4,1.0,1e-10,1e-05,9.0,14.0,12.0,9.6
3,9.0,17.0,0.7,1.0,1e-10,1e-05,9.0,19.0,4.0,9.6
4,12.0,17.0,0.7,1.0,1e-10,1e-05,12.0,23.0,8.0,9.6
5,13.0,17.0,0.7,1.0,1e-10,1e-05,13.0,23.0,12.0,9.6
6,12.0,17.0,1.0,1.0,1e-10,1e-05,12.0,26.0,4.0,9.6
7,17.0,16.0,1.0,1.0,1e-10,1e-05,17.0,29.0,8.0,9.6
8,17.0,17.0,1.0,1.0,1e-10,1e-05,17.0,30.0,12.0,9.6
9,7.0,9.0,0.4,1.0,3.162277660168379e-08,1e-05,7.0,9.0,4.0,9.6
10,8.0,13.0,0.4,1.0,3.162277660168379e-08,1e-05,8.0,13.0,8.0,9.6
11,9.0,14.0,0.4,1.0,3.162277660168379e-08,1e-05,9.0,14.0,12.0,9.6
12,9.0,15.0,0.7,1.0,3.162277660168379e-08,1e-05,9.0,19.0,4.0,9.6
13,12.0,15.0,0.7,1.0,3.162277660168379e-08,1e-05,12.0,20.0,8.0,9.6
14,12.0,14.0,0.7,1.0,3.162277660168379e-08,1e-05,12.0,20.0,12.0,9.6
15,12.0,15.0,1.0,1.0,3.162277660168379e-08,1e-05,12.0,22.0,4.0,9.6
16,13.0,15.0,1.0,1.0,3.162277660168379e-08,1e-05,13.0,25.0,8.0,9.6
17,13.0,14.0,1.0,1.0,3.162277660168379e-08,1e-05,13.0,27.0,12.0,9.6
18,7.0,9.0,0.4,1.0,1e-05,1e-05,7.0,9.0,4.0,9.6
19,8.0,12.0,0.4,1.0,1e-05,1e-05,8.0,13.0,8.0,9.6
20,9.0,12.0,0.4,1.0,1e-05,1e-05,9.0,14.0,12.0,9.6
21,9.0,12.0,0.7,1.0,1e-05,1e-05,9.0,16.0,4.0,9.6
22,11.0,12.0,0.7,1.0,1e-05,1e-05,11.0,15.0,8.0,9.6
23,11.0,12.0,0.7,1.0,1e-05,1e-05,11.0,15.0,12.0,9.6
24,11.0,12.0,1.0,1.0,1e-05,1e-05,11.0,18.0,4.0,9.6
25,11.0,12.0,1.0,1.0,1e-05,1e-05,11.0,20.0,8.0,9.6
26,11.0,11.0,1.0,1.0,1e-05,1e-05,11.0,21.0,12.0,9.6
